filename,species,species_confidence,family,family_confidence,quality,export_path,crop_path,scene_count,feature_similarity,feature_confidence,color_similarity,color_confidence,similar,secondary_species_list,secondary_species_scores,secondary_family_list,secondary_family_scores,exposure_correction,detection_scores,capture_time,scene_name,rating,rating_origin,normalized_rating,culled,culled_origin
IMG_1440.CR3,Orange-crowned Warbler,0.8294134736061096,Warbler sp.,0.8838908076286316,0.653614228011498,.kestrel\export\IMG_1440_export.jpg,.kestrel\crop\IMG_1440_crop.jpg,1,-1,-1,-1,-1,False,"[""Orange-crowned Warbler""]",[0.8294134736061096],"[""Warbler sp.""]",[0.8838908076286316],0.889,[0.9989792704582214],2025-11-08T08:56:46,,,,,,
IMG_1441.CR3,Orange-crowned Warbler,0.7731748223304749,Warbler sp.,0.828819215297699,0.5450374007376855,.kestrel\export\IMG_1441_export.jpg,.kestrel\crop\IMG_1441_crop.jpg,1,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler""]",[0.7731748223304749],"[""Warbler sp.""]",[0.828819215297699],0.6066,[0.9983422756195068],2025-11-08T08:56:46,,,,,,
IMG_1442.CR3,Orange-crowned Warbler,0.758912205696106,Warbler sp.,0.832231342792511,0.586879785688826,.kestrel\export\IMG_1442_export.jpg,.kestrel\crop\IMG_1442_crop.jpg,1,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler"", ""Vaux's Swift""]","[0.758912205696106, 0.8652265071868896]","[""Warbler sp."", ""Swift sp.""]","[0.832231342792511, 0.9645812511444092]",0.8309,"[0.9989909529685974, 0.7503452301025391]",2025-11-08T08:56:46,,,,,,
IMG_1443.CR3,Blackpoll Warbler,0.44648993015289307,Warbler sp.,0.905230700969696,0.050350301690238866,.kestrel\export\IMG_1443_export.jpg,.kestrel\crop\IMG_1443_crop.jpg,1,-1.0,-1.0,-1.0,-1.0,True,"[""Blackpoll Warbler""]",[0.44648993015289307],"[""Warbler sp.""]",[0.905230700969696],0.6665,[0.9935787916183472],2025-11-08T08:56:47,,,,,,
IMG_1444.CR3,Orange-crowned Warbler,0.41924822330474854,Warbler sp.,0.6925032138824463,0.11164301165058982,.kestrel\export\IMG_1444_export.jpg,.kestrel\crop\IMG_1444_crop.jpg,1,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler""]",[0.41924822330474854],"[""Warbler sp.""]",[0.6925032138824463],0.911,[0.9995276927947998],2025-11-08T08:56:47,,,,,,
IMG_1445.CR3,Orange-crowned Warbler,0.4849233627319336,Warbler sp.,0.6955474019050598,0.11694238365468669,.kestrel\export\IMG_1445_export.jpg,.kestrel\crop\IMG_1445_crop.jpg,1,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler""]",[0.4849233627319336],"[""Warbler sp.""]",[0.6955474019050598],0.9204,[0.9993677735328674],2025-11-08T08:56:47,,,,,,
IMG_1446.CR3,Orange-crowned Warbler,0.5736957788467407,Warbler sp.,0.8091539144515991,0.0789509053964239,.kestrel\export\IMG_1446_export.jpg,.kestrel\crop\IMG_1446_crop.jpg,1,0.6297364253393665,1.0,0.7883454784783537,1.0,True,"[""Orange-crowned Warbler""]",[0.5736957788467407],"[""Warbler sp.""]",[0.8091539144515991],0.6398,[0.9879651069641113],2025-11-08T08:56:51,,,,,,
IMG_1447.CR3,Orange-crowned Warbler,0.5412455797195435,Warbler sp.,0.6706368327140808,0.3827441699441789,.kestrel\export\IMG_1447_export.jpg,.kestrel\crop\IMG_1447_crop.jpg,2,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler""]",[0.5412455797195435],"[""Warbler sp.""]",[0.6706368327140808],0.736,[0.9912552833557129],2025-11-08T08:56:51,,,,,,
IMG_1448.CR3,Orange-crowned Warbler,0.8057090044021606,Warbler sp.,0.9034217596054077,0.5398042637746138,.kestrel\export\IMG_1448_export.jpg,.kestrel\crop\IMG_1448_crop.jpg,2,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler"", ""Vaux's Swift""]","[0.8057090044021606, 0.7155932784080505]","[""Warbler sp."", ""Swift sp.""]","[0.9034217596054077, 0.8189403414726257]",0.8099,"[0.998801589012146, 0.756272554397583]",2025-11-08T08:56:52,,,,,,
IMG_1449.CR3,Orange-crowned Warbler,0.7247936725616455,Warbler sp.,0.7837185859680176,0.500778544920654,.kestrel\export\IMG_1449_export.jpg,.kestrel\crop\IMG_1449_crop.jpg,2,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler""]",[0.7247936725616455],"[""Warbler sp.""]",[0.7837185859680176],0.678,[0.9989814162254333],2025-11-08T08:56:52,,,,,,
