filename,species,species_confidence,family,family_confidence,quality,export_path,crop_path,rating,scene_count,feature_similarity,feature_confidence,color_similarity,color_confidence,similar,secondary_species_list,secondary_species_scores,secondary_family_list,secondary_family_scores,normalized_rating
IMG_1813.CR3,Chipping Sparrow,0.5191901922225952,Sparrow sp.,0.9835273027420044,0.7338235974311829,.kestrel\export\IMG_1813_export.jpg,.kestrel\crop\IMG_1813_crop.jpg,4,1,-1.0,-1.0,-1,-1,False,"['Chipping Sparrow' ""Vaux's Swift"" 'Eastern Screech-Owl' 'Phainopepla'
 'Plumbeous Vireo']",[0.51919019 0.15906091 0.17285427 0.10505231 0.2752142 ],['Sparrow sp.' 'Swift sp.' 'Owl sp.' 'Flycatcher sp.' 'Vireo sp.'],[0.9835273  0.17683691 0.26700976 0.13229579 0.35129181],3
IMG_1815.CR3,Chipping Sparrow,0.4842446148395538,Sparrow sp.,0.8923935890197754,0.544897198677063,.kestrel\export\IMG_1815_export.jpg,.kestrel\crop\IMG_1815_crop.jpg,3,1,0.5433333333333333,1.0,0,0,True,"['Chipping Sparrow' 'Eastern Screech-Owl' ""Vaux's Swift"" ""Vaux's Swift""
 'Fish Crow']",[0.48424461 0.16820052 0.33065775 0.12997471 0.30350375],['Sparrow sp.' 'Owl sp.' 'Swift sp.' 'Swift sp.' 'Corvid sp.'],[0.89239359 0.20871714 0.47366586 0.19199127 0.48617443],2
IMG_1817.CR3,Black-billed Cuckoo,0.5217673182487488,Cuckoo/Roadrunner sp.,0.6608946323394775,0.2237725257873535,.kestrel\export\IMG_1817_export.jpg,.kestrel\crop\IMG_1817_crop.jpg,2,1,0.38,1.0,0,0,True,"['Black-billed Cuckoo' 'Black Swift' ""Vaux's Swift"" ""Leach's Storm-Petrel""
 'Common Nighthawk']",[0.52176732 0.25202653 0.18731686 0.10749371 0.3283608 ],"['Cuckoo/Roadrunner sp.' 'Swift sp.' 'Swift sp.' 'Waterfowl sp.'
 'Nightjar sp.']",[0.66089463 0.30623809 0.34558833 0.17657658 0.3284288 ],2
IMG_1818.CR3,Black-billed Cuckoo,0.6844353675842285,Cuckoo/Roadrunner sp.,0.8154512643814087,0.1130505204200744,.kestrel\export\IMG_1818_export.jpg,.kestrel\crop\IMG_1818_crop.jpg,1,1,0.6833333333333333,1.0,0,0,True,"['Black-billed Cuckoo' ""Townsend's Solitaire"" 'Brown-headed Nuthatch'
 'House Wren' 'House Wren']",[0.68443537 0.15063515 0.19666709 0.39418176 0.31871143],"['Cuckoo/Roadrunner sp.' 'Flycatcher sp.' 'Flycatcher sp.' 'Wren sp.'
 'Wren sp.']",[0.81545126 0.29691371 0.24535218 0.43478364 0.44566101],1
IMG_2031.CR3,American Goldfinch,0.9788913130760192,Finch sp.,0.9860258102416992,0.9185495972633362,.kestrel\export\IMG_2031_export.jpg,.kestrel\crop\IMG_2031_crop.jpg,5,2,0.0033333333333333,1.0,0,0,False,['American Goldfinch'],[0.97889131],['Finch sp.'],[0.98602581],4
IMG_2032.CR3,American Goldfinch,0.9861239194869996,Finch sp.,0.9917253851890564,0.1372277289628982,.kestrel\export\IMG_2032_export.jpg,.kestrel\crop\IMG_2032_crop.jpg,1,2,0.59,1.0,0,0,True,"['American Goldfinch' 'Marsh Wren' ""Vaux's Swift""]",[0.98612392 0.13775957 0.18508171],['Finch sp.' 'Wren sp.' 'Sandpiper sp.'],[0.99172539 0.36797833 0.2073307 ],2
IMG_2033.CR3,American Goldfinch,0.9696205258369446,Finch sp.,0.9835790991783142,0.9826316237449646,.kestrel\export\IMG_2033_export.jpg,.kestrel\crop\IMG_2033_crop.jpg,5,2,0.7266666666666667,1.0,0,0,True,['American Goldfinch'],[0.96962053],['Finch sp.'],[0.9835791],4
IMG_2034.CR3,American Goldfinch,0.991235852241516,Finch sp.,0.9966145157814026,0.988018274307251,.kestrel\export\IMG_2034_export.jpg,.kestrel\crop\IMG_2034_crop.jpg,5,2,0.3433333333333333,1.0,0,0,True,['American Goldfinch' 'Brown-headed Nuthatch' 'Northern Goshawk'],[0.99123585 0.18778281 0.15792792],['Finch sp.' 'Nuthatch sp.' 'Hawk/Eagle/Kite sp.'],[0.99661452 0.28094292 0.36740685],4
IMG_2035.CR3,American Goldfinch,0.987423300743103,Finch sp.,0.9929652214050292,0.9221938848495485,.kestrel\export\IMG_2035_export.jpg,.kestrel\crop\IMG_2035_crop.jpg,5,2,0.81,1.0,0,0,True,['American Goldfinch' 'Northern Rough-winged Swallow'],[0.9874233  0.35145405],['Finch sp.' 'Swallow sp.'],[0.99296522 0.36835733],4
IMG_2036.CR3,American Goldfinch,0.9878645539283752,Finch sp.,0.9970722794532776,0.9791315793991088,.kestrel\export\IMG_2036_export.jpg,.kestrel\crop\IMG_2036_crop.jpg,5,2,0.7366666666666667,1.0,0,0,True,"['American Goldfinch' ""Vaux's Swift""]",[0.98786455 0.1356363 ],['Finch sp.' 'Hawk/Eagle/Kite sp.'],[0.99707228 0.26942545],4
IMG_2037.CR3,American Goldfinch,0.9821475744247437,Finch sp.,0.9931813478469848,0.6147674322128296,.kestrel\export\IMG_2037_export.jpg,.kestrel\crop\IMG_2037_crop.jpg,4,2,0.73,1.0,0,0,True,"['American Goldfinch' ""Vaux's Swift"" ""Vaux's Swift"" ""Vaux's Swift""]",[0.98214757 0.51241726 0.45043921 0.14868093],['Finch sp.' 'Swift sp.' 'Swift sp.' 'Swift sp.'],[0.99318135 0.56386745 0.54143107 0.17931893],3
IMG_2038.CR3,American Goldfinch,0.980274736881256,Finch sp.,0.99197256565094,0.6580365896224976,.kestrel\export\IMG_2038_export.jpg,.kestrel\crop\IMG_2038_crop.jpg,4,2,0.7433333333333333,1.0,0,0,True,['American Goldfinch'],[0.98027474],['Finch sp.'],[0.99197257],3
IMG_2039.CR3,American Goldfinch,0.990035116672516,Finch sp.,0.9958926439285278,0.3214104175567627,.kestrel\export\IMG_2039_export.jpg,.kestrel\crop\IMG_2039_crop.jpg,3,2,0.7633333333333333,1.0,0,0,True,"['American Goldfinch' 'Northern Rough-winged Swallow' ""Vaux's Swift""]",[0.99003512 0.13719621 0.22429834],['Finch sp.' 'Swallow sp.' 'Swift sp.'],[0.99589264 0.20089893 0.23400258],2
IMG_2040.CR3,American Goldfinch,0.7052177786827087,Finch sp.,0.8524217009544373,0.9113750457763672,.kestrel\export\IMG_2040_export.jpg,.kestrel\crop\IMG_2040_crop.jpg,5,2,0.1566666666666666,1.0,0,0,True,['American Goldfinch'],[0.70521778],['Finch sp.'],[0.8524217],4
