filename,species,species_confidence,family,family_confidence,quality,export_path,crop_path,scene_count,feature_similarity,feature_confidence,color_similarity,color_confidence,similar,secondary_species_list,secondary_species_scores,secondary_family_list,secondary_family_scores,exposure_correction,detection_scores,capture_time,scene_name,rating,rating_origin,normalized_rating,culled,culled_origin
IMG_1813.CR3,Chipping Sparrow,0.4867725670337677,Sparrow sp.,0.978895366191864,0.5323796371984778,.lingjian\export\IMG_1813_export.jpg,.lingjian\crop\IMG_1813_crop.jpg,1,-1,-1,-1,-1,False,"[""Chipping Sparrow"", ""Vaux's Swift"", ""Eastern Screech-Owl"", ""Phainopepla"", ""Plumbeous Vireo""]","[0.4867725670337677, 0.14868205785751343, 0.1945408582687378, 0.09268424659967422, 0.2635214924812317]","[""Sparrow sp."", ""Swift sp."", ""Owl sp."", ""Flycatcher sp."", ""Vireo sp.""]","[0.978895366191864, 0.16956506669521332, 0.29646703600883484, 0.1650054007768631, 0.32433968782424927]",0.6946,"[0.9937973618507385, 0.9319597482681274, 0.9210235476493835, 0.807244062423706, 0.7743288278579712]",2025-11-10T06:58:15,,,,,,
IMG_1815.CR3,Chipping Sparrow,0.5227168202400208,Sparrow sp.,0.9099148511886597,0.582858921969175,.lingjian\export\IMG_1815_export.jpg,.lingjian\crop\IMG_1815_crop.jpg,1,-1.0,-1.0,-1.0,-1.0,True,"[""Chipping Sparrow"", ""Eastern Screech-Owl"", ""Vaux's Swift"", ""Vaux's Swift"", ""Fish Crow""]","[0.5227168202400208, 0.154364213347435, 0.38064250349998474, 0.13398529589176178, 0.32322195172309875]","[""Sparrow sp."", ""Owl sp."", ""Swift sp."", ""Swift sp."", ""Corvid sp.""]","[0.9099148511886597, 0.19636675715446472, 0.5490285754203796, 0.25265809893608093, 0.48685580492019653]",1.0118,"[0.9969767332077026, 0.951167643070221, 0.8854316473007202, 0.8706567287445068, 0.8418340086936951]",2025-11-10T06:58:16,,,,,,
IMG_1817.CR3,Black-billed Cuckoo,0.46461552381515503,Cuckoo/Roadrunner sp.,0.628808319568634,0.1720093989375141,.lingjian\export\IMG_1817_export.jpg,.lingjian\crop\IMG_1817_crop.jpg,1,-1.0,-1.0,-1.0,-1.0,True,"[""Black-billed Cuckoo"", ""Black Swift"", ""Vaux's Swift"", ""Leach's Storm-Petrel"", ""Common Nighthawk""]","[0.46461552381515503, 0.2561684250831604, 0.14922884106636047, 0.08559996634721756, 0.3353407680988312]","[""Cuckoo/Roadrunner sp."", ""Swift sp."", ""Swift sp."", ""Waterfowl sp."", ""Nightjar sp.""]","[0.628808319568634, 0.31648918986320496, 0.31105169653892517, 0.19230839610099792, 0.3354058563709259]",0.801,"[0.9903380274772644, 0.8817947506904602, 0.8675820827484131, 0.8618749976158142, 0.8263992071151733]",2025-11-10T06:58:16,,,,,,
IMG_1818.CR3,Black-billed Cuckoo,0.6934295296669006,Cuckoo/Roadrunner sp.,0.8235100507736206,0.26889268822880585,.lingjian\export\IMG_1818_export.jpg,.lingjian\crop\IMG_1818_crop.jpg,1,-1.0,-1.0,-1.0,-1.0,True,"[""Black-billed Cuckoo"", ""Western Wood-Pewee"", ""Chestnut-backed Chickadee"", ""House Wren"", ""House Wren""]","[0.6934295296669006, 0.22380860149860382, 0.20650573074817657, 0.28775590658187866, 0.27067863941192627]","[""Cuckoo/Roadrunner sp."", ""Flycatcher sp."", ""Swallow sp."", ""Wren sp."", ""Wren sp.""]","[0.8235100507736206, 0.42280811071395874, 0.3154447078704834, 0.31633633375167847, 0.33156800270080566]",0.895,"[0.9906564354896545, 0.9068152904510498, 0.8813644051551819, 0.8561953902244568, 0.8501369953155518]",2025-11-10T06:58:16,,,,,,
IMG_2031.CR3,American Goldfinch,0.9797577857971191,Finch sp.,0.9871217012405396,0.4754930679673229,.lingjian\export\IMG_2031_export.jpg,.lingjian\crop\IMG_2031_crop.jpg,2,0.0017499999999999998,1.0,0.2735746767577504,0.6186243657333708,False,"[""American Goldfinch""]",[0.9797577857971191],"[""Finch sp.""]",[0.9871217012405396],-0.3317,[0.9977530837059021],2025-11-10T06:58:16,,,,,,
IMG_2032.CR3,American Goldfinch,0.9866511821746826,Finch sp.,0.9923011064529419,0.020765745570469975,.lingjian\export\IMG_2032_export.jpg,.lingjian\crop\IMG_2032_crop.jpg,2,-1.0,-1.0,-1.0,-1.0,True,"[""American Goldfinch""]",[0.9866511821746826],"[""Finch sp.""]",[0.9923011064529419],-0.5406,"[0.997685432434082, 0.9768248200416565]",2025-11-10T06:58:16,,,,,,
IMG_2033.CR3,American Goldfinch,0.9723498225212097,Finch sp.,0.9790464043617249,0.4739905275631833,.lingjian\export\IMG_2033_export.jpg,.lingjian\crop\IMG_2033_crop.jpg,2,-1.0,-1.0,-1.0,-1.0,True,"[""American Goldfinch""]",[0.9723498225212097],"[""Finch sp.""]",[0.9790464043617249],-0.6063,"[0.9974615573883057, 0.988212525844574]",2025-11-10T06:58:16,,,,,,
IMG_2034.CR3,American Goldfinch,0.9902969002723694,Finch sp.,0.995858907699585,0.5953731395471009,.lingjian\export\IMG_2034_export.jpg,.lingjian\crop\IMG_2034_crop.jpg,2,-1.0,-1.0,-1.0,-1.0,True,"[""American Goldfinch""]",[0.9902969002723694],"[""Finch sp.""]",[0.995858907699585],-0.4819,[0.9985246062278748],2025-11-10T06:58:16,,,,,,
IMG_2035.CR3,American Goldfinch,0.9921841025352478,Finch sp.,0.9956725239753723,0.43579898812080686,.lingjian\export\IMG_2035_export.jpg,.lingjian\crop\IMG_2035_crop.jpg,2,-1.0,-1.0,-1.0,-1.0,True,"[""American Goldfinch""]",[0.9921841025352478],"[""Finch sp.""]",[0.9956725239753723],-0.4725,[0.9985777139663696],2025-11-10T06:58:16,,,,,,
IMG_2036.CR3,American Goldfinch,0.9886922836303711,Finch sp.,0.9971083998680115,0.5503914450626953,.lingjian\export\IMG_2036_export.jpg,.lingjian\crop\IMG_2036_crop.jpg,2,-1.0,-1.0,-1.0,-1.0,True,"[""American Goldfinch""]",[0.9886922836303711],"[""Finch sp.""]",[0.9971083998680115],-0.4895,[0.9980461597442627],2025-11-10T06:58:16,,,,,,
