Species,Scientific Family
Abert's Towhee,Passerellidae
Acadian Flycatcher,Tyrannidae
Acorn Woodpecker,Picidae
Alder Flycatcher,Tyrannidae
Allen's Hummingbird,Trochilidae
American Avocet,Recurvirostridae
American Bittern,Ardeidae
American Black Duck,Anatidae
American Coot,Rallidae
American Crow,Corvidae
American Dipper,Cinclidae
American Golden-Plover,Charadriidae
American Goldfinch,Fringillidae
American Kestrel,Falconidae
American Oystercatcher,Haematopodidae
American Pipit,Motacillidae
American Redstart,Parulidae
American Robin,Turdidae
American Three-toed Woodpecker,Picidae
American Tree Sparrow,Passerellidae
American White Pelican,Pelecanidae
American Wigeon,Anatidae
American Woodcock,Scolopacidae
Ancient Murrelet,Alcidae
Anhinga,Anhingidae
Anna's Hummingbird,Trochilidae
Arctic Tern,Laridae
Ash-throated Flycatcher,Tyrannidae
Atlantic Puffin,Alcidae
Baird's Sandpiper,Scolopacidae
Baird's Sparrow,Passerellidae
Bald Eagle,Accipitridae
Baltimore Oriole,Icteridae
Band-tailed Pigeon,Columbidae
Bank Swallow,Hirundinidae
Barn Owl,Tytonidae
Barn Swallow,Hirundinidae
Barred Owl,Strigidae
Barrow's Goldeneye,Anatidae
Bay-breasted Warbler,Parulidae
Bell's Vireo,Vireonidae
Belted Kingfisher,Alcedinidae
Bewick's Wren,Troglodytidae
Bicknell's Thrush,Turdidae
Black Guillemot,Alcidae
Black Oystercatcher,Haematopodidae
Black Phoebe,Tyrannidae
Black Scoter,Anatidae
Black Skimmer,Laridae
Black Swift,Apodidae
Black Tern,Laridae
Black Turnstone,Scolopacidae
Black Vulture,Cathartidae
Black-and-white Warbler,Parulidae
Black-backed Woodpecker,Picidae
Black-bellied Plover,Charadriidae
Black-bellied Whistling-Duck,Anatidae
Black-billed Cuckoo,Cuculidae
Black-billed Magpie,Corvidae
Black-capped Chickadee,Paridae
Black-chinned Hummingbird,Trochilidae
Black-crested Titmouse,Paridae
Black-crowned Night-Heron,Ardeidae
Black-headed Grosbeak,Cardinalidae
Black-headed Gull,Laridae
Black-legged Kittiwake,Laridae
Black-necked Stilt,Recurvirostridae
Black-tailed Gnatcatcher,Polioptilidae
Black-throated Blue Warbler,Parulidae
Black-throated Gray Warbler,Parulidae
Black-throated Green Warbler,Parulidae
Black-throated Sparrow,Passerellidae
Blackburnian Warbler,Parulidae
Blackpoll Warbler,Parulidae
Blue Grosbeak,Cardinalidae
Blue Jay,Corvidae
Blue-gray Gnatcatcher,Polioptilidae
Blue-headed Vireo,Vireonidae
Blue-winged Teal,Anatidae
Blue-winged Warbler,Parulidae
Boat-tailed Grackle,Icteridae
Bobolink,Icteridae
Bohemian Waxwing,Bombycillidae
Bonaparte's Gull,Laridae
Boreal Chickadee,Paridae
Boreal Owl,Strigidae
Brandt's Cormorant,Phalacrocoracidae
Brant,Anatidae
Brewer's Blackbird,Icteridae
Brewer's Sparrow,Passerellidae
Bridled Titmouse,Paridae
Broad-billed Hummingbird,Trochilidae
Broad-tailed Hummingbird,Trochilidae
Broad-winged Hawk,Accipitridae
Brown Creeper,Certhiidae
Brown Pelican,Pelecanidae
Brown Thrasher,Mimidae
Brown-crested Flycatcher,Tyrannidae
Brown-headed Cowbird,Icteridae
Brown-headed Nuthatch,Sittidae
Buff-breasted Sandpiper,Scolopacidae
Bufflehead,Anatidae
Bullock's Oriole,Icteridae
