filename,species,species_confidence,family,family_confidence,quality,export_path,crop_path,rating,scene_count,feature_similarity,feature_confidence,color_similarity,color_confidence,similar,secondary_species_list,secondary_species_scores,secondary_family_list,secondary_family_scores
IMG_1440.CR3,Orange-crowned Warbler,0.7991594672203064,Warbler sp.,0.865513026714325,0.9994505643844604,.kestrel\export\IMG_1440_export.jpg,.kestrel\crop\IMG_1440_crop.jpg,5,1,-1,-1,-1,-1,False,['Orange-crowned Warbler'],[0.79915947],['Warbler sp.'],[0.86551303]
IMG_1441.CR3,Orange-crowned Warbler,0.7619718313217163,Warbler sp.,0.8142504096031189,0.991870641708374,.kestrel\export\IMG_1441_export.jpg,.kestrel\crop\IMG_1441_crop.jpg,5,1,0.82,1.0,0,0,True,"['Orange-crowned Warbler' ""Vaux's Swift""]",[0.76197183 0.81245852],['Warbler sp.' 'Swift sp.'],[0.81425041 0.89671516]
IMG_1442.CR3,Orange-crowned Warbler,0.7328695058822632,Warbler sp.,0.804862916469574,0.9976232051849365,.kestrel\export\IMG_1442_export.jpg,.kestrel\crop\IMG_1442_crop.jpg,5,1,0.8666666666666667,1.0,0,0,True,"['Orange-crowned Warbler' ""Vaux's Swift""]",[0.73286951 0.83382279],['Warbler sp.' 'Swift sp.'],[0.80486292 0.92734838]
IMG_1443.CR3,Orange-crowned Warbler,0.38060981035232544,Warbler sp.,0.8581218123435974,0.08165299147367477,.kestrel\export\IMG_1443_export.jpg,.kestrel\crop\IMG_1443_crop.jpg,1,1,0.58,1.0,0,0,True,['Orange-crowned Warbler'],[0.38060981],['Warbler sp.'],[0.85812181]
IMG_1444.CR3,Orange-crowned Warbler,0.5614548921585083,Warbler sp.,0.7131063342094421,0.04406917467713356,.kestrel\export\IMG_1444_export.jpg,.kestrel\crop\IMG_1444_crop.jpg,1,1,0.7533333333333333,1.0,0,0,True,['Orange-crowned Warbler'],[0.56145489],['Warbler sp.'],[0.71310633]
IMG_1445.CR3,Orange-crowned Warbler,0.6190280914306641,Warbler sp.,0.774373471736908,0.04261675104498863,.kestrel\export\IMG_1445_export.jpg,.kestrel\crop\IMG_1445_crop.jpg,1,1,0.87,1.0,0,0,True,['Orange-crowned Warbler'],[0.61902809],['Warbler sp.'],[0.77437347]
IMG_1446.CR3,Orange-crowned Warbler,0.6879740357398987,Warbler sp.,0.812712550163269,0.57353276014328,.kestrel\export\IMG_1446_export.jpg,.kestrel\crop\IMG_1446_crop.jpg,3,1,0.55,1.0,0,0,True,['Orange-crowned Warbler'],[0.68797404],['Warbler sp.'],[0.81271255]
IMG_1447.CR3,Orange-crowned Warbler,0.6268458366394043,Warbler sp.,0.7331820130348206,0.8362576961517334,.kestrel\export\IMG_1447_export.jpg,.kestrel\crop\IMG_1447_crop.jpg,4,1,0.71,1.0,0,0,True,['Orange-crowned Warbler'],[0.62684584],['Warbler sp.'],[0.73318201]
IMG_1448.CR3,Orange-crowned Warbler,0.8422973155975342,Warbler sp.,0.9162736535072327,0.740903913974762,.kestrel\export\IMG_1448_export.jpg,.kestrel\crop\IMG_1448_crop.jpg,4,1,0.61,1.0,0,0,True,"['Orange-crowned Warbler' ""Vaux's Swift""]",[0.84229732 0.69642431],['Warbler sp.' 'Swift sp.'],[0.91627365 0.79768038]
IMG_1449.CR3,Orange-crowned Warbler,0.7289350032806396,Warbler sp.,0.7930649518966675,0.9189369082450867,.kestrel\export\IMG_1449_export.jpg,.kestrel\crop\IMG_1449_crop.jpg,5,1,0.7966666666666666,1.0,0,0,True,['Orange-crowned Warbler'],[0.728935],['Warbler sp.'],[0.79306495]
